Timestamp,X,Y,Z
17979,15,16,-5
18079,-23,9,8
18180,-15,35,20
18280,-4,-16,36
18380,-32,-34,24
18480,-7,26,35
18581,-1,20,27
18681,-31,37,11
18782,31,13,-7
18883,-38,-11,12
18984,32,-4,-11
19084,31,31,32
19185,7,25,-26
19285,25,-17,-25
19386,17,7,-4
19486,18,27,-37
19587,12,-11,-20
19688,26,-28,26
19788,-6,-21,24
19888,19,10,1
19989,14,7,-37
20089,-17,34,21
20189,21,-8,-5
20290,-18,22,6
20390,-30,6,34
20490,-28,32,-16
20590,25,13,29
20691,39,-24,-32
20791,22,-21,6
20892,23,14,-7
20993,14,0,-20
21093,-22,-15,-15
21193,-10,-19,-39
21294,7,13,-7
21394,36,-36,-34
21494,-20,38,19
21594,-20,35,3
21694,-2,-6,26
21794,-4,-29,-2
21894,5,35,22
21995,33,32,23
22096,-8,8,10
22197,19,-26,-13
22297,31,-34,-15
22398,3,39,31
22498,6,28,-39
22599,-17,-2,-17
22699,7,16,-16
22800,-2,1,-34
22900,30,-21,-22
23001,37,13,4
23101,-25,-36,-20
23202,4,29,-25
23302,-32,0,7
23402,38,10,13
23502,3,16,32
23602,-3,14,-10
23702,-8,-38,30
23803,38,-7,39
23904,-22,16,15
24005,-2,-14,24
24105,-31,-36,38
24206,-14,21,-11
24306,10,22,-18
24407,17,28,1
24507,27,-7,-37
24608,-3,8,22
24709,-32,19,0
24810,15,-33,-6
24910,32,-11,-15
25010,33,37,25
25111,-16,-1,-19
25211,19,33,-17
25312,25,19,1
25412,-21,22,34
25512,37,-17,17
25612,18,-11,30
25712,35,-34,18
25813,-18,-13,-5
25913,2,-17,-11
26013,10,-1,30
26114,-20,-7,26
26215,25,-16,-1
26316,12,10,10
26416,3,6,19
26516,-30,17,0
26617,16,-36,-27
26717,-27,-17,31
26817,4,23,-29
26918,-16,-34,20
27018,-8,35,-7
27119,35,38,28
27220,5,19,34
27320,-2,-1,-10
27420,9,-23,-5
27520,31,-38,22
27620,15,-32,35
27720,-12,27,21
27820,21,1,-1
27921,-31,-3,39
28023,-3,22,10
28123,25,-9,-5
28226,14,20,-39
28330,13,13,-25
28424,18,-19,37
28525,1,34,-34
28624,-18,23,6
28725,-25,-25,1
28825,-17,13,-29
28925,-1,-10,38
29027,-25,4,-29
29126,-31,28,-38
29227,-29,33,36
29327,-17,27,-3
29428,-4,9,-35
29529,30,5,-16
29630,26,-37,11
29730,9,9,16
29832,35,-1,-8
29931,12,29,3
30032,-28,-24,8
30133,32,-27,7
30233,-24,-33,27
30333,21,-15,-11
30433,4,-30,-5
30534,-20,-5,-6
30635,-35,-23,-38
30735,-19,-9,28
30835,-11,-24,-12
30935,-23,-1,25
31036,-27,8,23
31136,-17,0,17
31237,39,-20,-2
31338,26,-16,30
31438,0,10,30
31538,-7,-40,-1
31638,25,-25,-18
31739,-1,13,-8
31840,-39,5,-12
31942,31,-34,-17
32042,35,-25,7
32141,-24,29,8
32241,21,23,-18
32341,-23,1,24
32442,19,-6,31
32543,-16,34,2
32643,10,17,6
32744,-28,-34,29
32845,35,-34,-6
32945,-19,6,31
33046,-9,0,-1
33146,-8,5,38
33246,39,-14,8
33347,18,-23,28
33447,-12,-28,-7
33548,31,22,23
33648,-33,-36,18
33748,-39,29,8
33848,11,-11,-37
33948,-24,-2,-13
34049,31,-6,-12
34150,-6,-16,36
34251,9,-23,-11
34351,-34,-40,-32
34452,6,-12,-14
34552,-24,-8,26
34652,26,-15,21
34753,1,-6,-14
34853,-20,-16,-38
34953,40,33,-12
35054,25,-24,12
35155,-33,38,32
35255,-18,1,13
35355,7,33,-4
35456,-14,15,33
35556,-26,-1,12
35656,14,39,27
35757,29,-2,36
35858,1,34,2
35958,-30,16,-24
36059,-33,0,35
36159,24,-6,10
36259,27,25,-16
36360,-10,39,30
36460,40,21,2
36560,17,-27,-19
36660,16,-12,9
36760,11,-2,-25
36861,-34,34,34
36961,-25,-24,-23
37062,-25,-23,-34
37162,2,-26,-25
37263,28,8,-18
37363,19,37,3
37464,39,25,35
37564,2,-4,5
37664,-8,14,-14
37764,-8,0,0
37870,-37,-7,-21
37966,-36,26,-40
38067,15,-29,32
38167,36,25,-34
38268,-4,38,-3
38368,22,12,-13
38469,-31,-23,-7
38569,-38,-13,4
38668,5,-30,-18
38769,11,25,8
38870,-1,-6,20
38970,16,31,-10
39071,-21,24,7
39171,-20,-29,-18
39271,36,-21,-24
39373,35,20,17
39473,27,18,12
39574,-4,15,-23
39674,-33,27,27
39774,-37,26,27
39875,28,8,40
39975,38,19,-32
40076,20,17,-27
40176,-9,-4,25
40277,23,13,38
40378,18,24,33
40478,12,26,-28
40578,39,26,20
40678,8,16,-10
40779,18,-10,-33
40879,32,-31,-1
40979,4,-16,35
41080,36,35,31
41181,-18,14,10
41282,-27,-29,3
41382,-26,-11,13
41482,-19,27,26
41582,-26,21,-6
41683,30,25,36
41784,7,-30,29
41885,28,-29,38
41985,-28,-2,17
42086,9,-32,-6
42186,-22,-22,-27
42286,30,-34,25
42387,39,-11,11
42488,-11,28,20
42588,11,-19,-14
42688,11,40,-25
42789,11,0,-16
42889,-2,2,29
42989,12,9,24
43090,38,-38,-12
43190,-10,-24,6
43290,-22,35,7
43391,19,21,-2
43491,-1,-3,-34
43592,36,-9,-32
43693,-7,-10,-7
43793,-1,-20,35
43893,9,20,-19
43993,29,8,-26
44094,5,-4,-35
44195,-17,32,-9
44295,-31,33,-24
44396,29,-23,-4
44497,29,6,18
44597,-8,-34,32
44698,10,7,15
44798,20,-2,-35
44898,-24,16,15
44999,8,-22,-2
45099,-27,12,28
45200,-35,-12,-32
45300,0,-24,-5
45400,-26,-19,1
45501,17,-35,-35
45601,9,-33,-13
45702,-8,22,-5
45803,3,32,-20
45903,-21,32,6
46004,8,-36,-32
46105,-33,-40,25
46205,-18,39,2
46306,-18,31,25
46407,33,0,-11
46508,-35,24,-7
46608,-28,-31,-33
46708,-21,-26,-15
46809,-11,-34,26
46909,-31,-20,8
47009,13,-18,17
47109,28,-27,0
47210,-1,35,38
47311,-15,26,14
47411,20,6,25
47511,-9,25,-37
47612,24,14,35
47712,-34,23,14
47813,24,-12,6
47913,-22,-18,-24
48013,-3,-18,28
48114,30,21,1
48215,-29,4,-6
48315,34,-31,-9
48416,-13,-6,18
48517,-3,1,19
48617,-37,5,24
48718,-5,-21,32
48818,18,16,5
48918,14,-19,34
49019,5,-33,22
49119,8,10,21
49220,-15,26,7
49321,-5,-29,26
49421,-31,-8,20
49522,-8,-26,-25
49622,30,-28,-21
49723,-3,-28,-38
49823,15,13,-26
49923,26,-24,-17
50023,-25,-21,3
50124,-18,24,-38
50224,-34,27,17
50325,-8,-4,26
50425,-30,39,-32
50526,24,-1,-3
50626,24,-24,-8
50727,4,1,30
50827,-21,3,21
50928,-17,-2,32
51028,-21,15,37
51129,7,-6,-26
51229,-11,-27,39
51330,8,-24,-16
51430,-39,34,-1
51531,-9,-3,1
51631,-32,29,16
51731,-8,27,39
51832,-38,7,23
51933,-32,-22,-22
52034,-6,-2,36
52134,-32,-7,22
52235,6,-26,2
52336,7,-15,32
52436,1,29,-25
52537,-33,18,-12
52638,39,17,-12
52739,-10,-11,26
52839,1,-35,3
52940,24,-2,-3
53040,-24,28,-5
53141,11,20,-13
53241,-16,-14,30
53342,1,-24,27
53443,-18,-6,26
53543,35,21,-26
53644,24,-35,-9
53744,22,-31,-15
53844,-21,-2,-11
53944,-28,-28,3
54044,18,-11,2
54144,-37,-38,-39
54244,-8,-11,-12
54345,-34,6,1
54446,15,-9,-3
54546,-9,14,-33
54646,-21,-10,-23
54747,-21,-3,-36
54847,-15,-34,-34
54948,3,-9,-34
55048,-12,23,-37
55149,-10,-11,2
55249,5,-30,-12
55349,-27,32,15
55450,-39,-28,30
55551,-26,-18,34
55652,28,16,-11
55752,-36,-40,-23
55852,-6,7,4
55953,4,-8,-30
56053,23,36,-28
56153,39,34,-13
56253,-22,27,0
56354,37,-35,-4
56454,25,39,18
56555,-4,37,-22
56655,25,25,-15
56755,-14,-39,-2
56857,-34,-23,0
56957,-15,-3,12
57058,22,32,-32
57159,28,-9,-37
57260,-36,17,39
57360,-28,17,14
57460,-29,-29,26
57561,31,10,-10
57661,11,22,-39
57761,28,35,-1
57861,-29,-11,-13
57961,-8,8,24
58061,-6,2,6
58161,10,-11,-15
58262,11,26,-4
58363,-34,8,3
58463,-19,5,-17
58563,-28,17,26
58667,30,-11,1
58765,34,-1,-10
58866,-9,28,-18
58967,-23,-31,14
59068,25,22,-37
59168,28,37,-22
59269,28,9,8
59369,-22,35,-25
59470,-5,-17,-16
59570,12,-4,-27
59671,-25,26,11
59771,28,-3,6
59872,-28,19,23
59973,-40,32,4
60074,28,32,18
60174,-34,-32,-20
60274,-29,-7,-29
60374,-14,-25,17
60475,21,-4,34
60575,35,-14,-30
60676,-14,-36,5
60777,29,-34,-21
60878,-35,32,-6
60978,-29,-37,-25
61079,16,-14,-32
61180,28,-11,12
61281,36,-6,29
61381,-23,37,-28
61482,23,30,-13
61582,-12,-31,-16
61682,-38,-25,-28
61782,35,-7,-14
61883,-12,-31,34
61984,30,1,2
62085,-14,37,-10
62186,-35,6,31
62287,34,36,-26
62387,29,-26,9
62488,25,31,6
62588,-32,-34,32
62688,32,-7,37
62789,30,-7,29
62890,-20,22,-33
62991,-34,-13,-6
63091,-20,14,25
63192,13,0,32
63291,-11,-32,-5
63392,-2,-17,7
63492,37,-9,27
63592,-26,22,25
63693,-11,-30,30
63794,10,-28,-1
63894,2,-26,19
63995,12,8,-19
64095,-7,2,-5
64195,-9,24,-10
64296,-28,19,34
64397,-1,19,38
64497,7,-17,-19
64598,30,34,-38
64699,26,-40,-22
64799,38,-23,-12
64899,-32,-3,-22
65000,24,-29,22
65101,15,27,-26
65202,40,26,33
65302,31,2,-12
65402,4,36,4
65503,-23,-5,37
65603,29,29,18
65704,-8,29,-9
65805,-17,-20,-22
65906,-17,29,7
66006,-36,-5,24
66107,3,36,-28
66207,36,35,-13
66307,-32,-30,24
66407,-32,-32,7
66507,30,25,20
66607,-22,-36,-25
66708,-34,-37,-14
66808,18,1,-6
66909,22,32,-38
67009,34,-4,0
67110,-8,32,25
67211,-10,-35,29
67312,34,29,-6
67412,-37,19,37
67512,-33,-34,12
67613,24,11,-6
67714,-6,-29,5
67814,34,33,35
67914,34,-3,1
68015,5,18,19
68116,32,24,-13
68216,15,-6,-7
68317,6,-40,33
68418,34,23,31
68518,32,-33,-14
68619,36,5,-38
68719,-23,-10,31
68819,12,-16,14
68920,33,-18,29
69020,15,-28,-40
69121,34,-23,3
69221,22,3,-9
69322,9,19,14
69423,-35,-37,-33
69523,11,-20,-19
69623,-32,-29,14
69723,35,-11,7
69824,36,-33,27
69925,-17,-21,23
70026,-22,6,3
70126,-38,37,3
70226,16,-36,28
70326,-38,-28,-3
70426,6,-5,-22
70528,-23,-37,-12
70628,-16,-17,21
70728,-15,-39,16
70829,0,-24,-22
70930,-16,5,-29
71030,25,-26,4
71131,6,17,2
71231,-6,-7,-9
71332,27,1,-35
71432,-29,-14,-18
71533,27,8,-9
71633,-27,21,34
71733,-2,39,25
71834,-24,22,-6
71935,-18,1,-36
72035,-17,-15,-20
72136,-17,-15,23
72237,19,-15,-5
72337,39,-34,17
72437,29,29,-12
72537,17,-16,-1
72638,-20,40,9
72738,4,31,-40
72839,22,-24,35
72939,-38,-15,4
73040,-4,31,24
73141,6,-39,15
73242,26,-32,29
73343,-25,-16,-28
73443,29,9,6
73544,28,-5,30
73644,2,22,-7
73745,36,18,5
73846,-35,-2,16
73946,18,22,-2
74046,-23,30,-12
74148,22,2,-39
74248,-4,23,-4
74349,-33,-24,8
74450,-24,6,1
74551,24,39,-19
74652,-4,9,-9
74753,-26,-36,36
74854,-20,-14,-6
74954,5,-38,4
75055,-17,-21,11
75155,9,2,5
75255,-15,-39,-33
75356,39,-12,-27
75456,-2,-14,-28
75557,-21,-14,-35
75657,7,-14,12
75758,-13,23,35
75858,-34,-34,1
75959,9,6,-4
76060,-23,-22,-17
76161,-13,17,-38
76261,33,16,-17
76361,30,-36,-24
76462,-39,-24,-34
76562,32,40,-27
76662,-34,8,-5
76762,3,-15,-14
76863,3,37,7
76963,14,-9,4
77064,-3,34,31
77164,29,-40,29
77266,-4,-28,29
77366,-19,5,6
77467,8,-11,11
77568,-39,-17,31
77668,22,10,-18
77769,29,34,-27
77869,37,7,-17
77969,-26,-31,10
78071,-5,14,-9
78171,13,-29,11
78271,38,-14,0
78371,-26,25,11
78471,-13,-13,11
78572,10,30,-37
78672,-20,3,28
78773,10,0,-32
78873,-17,3,-28
78974,27,-11,-13
79074,36,-12,-9
79174,35,14,36
79274,19,-33,25
79375,8,-15,27
79476,5,6,27
79577,-31,-24,15
79677,2,13,-36
79778,-36,-31,13
79878,-13,-26,-27
79979,-11,26,31
80080,1,-28,-13
80180,-31,-1,-16
80282,-24,-28,-39
80382,-2,16,2
80483,-29,-11,19
80583,-20,-14,33
80683,-23,15,22
80783,4,22,2
80884,-36,29,9
80984,14,18,16
81085,-38,-40,17
81186,-32,8,35
81287,-19,-31,9
81388,-5,-32,13
81488,8,11,0
81588,-12,-36,30
81689,13,24,-4
81791,32,-5,-30
81890,-20,-32,-8
81991,37,-19,-39
82092,36,32,-20
82192,5,-20,-32
82293,-10,32,-6
82393,33,20,-36
82494,-22,-15,-31
82594,-27,-16,-12
82694,20,-12,34
82795,1,-31,17
82896,-1,32,-28
82997,-34,9,-25
83099,-2,-16,-11
83197,13,13,19
83298,18,-17,30
83404,-23,32,-20
83501,-20,-8,-7
83600,-37,29,-7
83700,7,-36,25
83801,10,40,6
83902,26,31,30
84002,12,5,-2
84103,13,-21,26
84203,-29,-6,-39
84304,-32,33,-30
84405,8,27,32
84505,34,-24,39
84605,-1,-28,-22
84706,-7,20,13
84806,33,-27,22
84907,36,29,-40
85008,26,7,-30
85108,-29,32,4
85208,10,8,-39
85309,28,18,-2
85410,10,1,32
85511,16,35,-14
85611,5,-2,-2
85712,-6,4,24
85812,22,12,9
85913,-38,19,-2
86013,6,6,11
86114,-26,-35,18
86215,-39,-36,10
86315,-13,16,-34
86416,5,-19,-34
86517,-38,11,17
86617,32,-1,-39
86718,20,21,-17
86818,-39,-31,31
86919,-2,25,19
87020,-4,26,10
87120,30,21,-25
87220,-19,20,-40
87320,-33,-23,15
87421,32,19,8
87521,35,40,-1
87622,-36,-32,-18
87723,35,-11,20
87823,-35,-9,-3
87923,-19,6,3
88024,35,7,8
88124,39,0,22
88225,-24,14,27
88325,29,-18,10
88425,31,-10,-3
88525,-3,-7,-26
88626,-32,-6,-39
88727,17,-2,2
88827,29,36,18
88928,33,28,38
89028,-4,24,-32
89129,25,-12,-27
89229,-18,-28,3
89329,-27,29,23
89429,-38,-25,12
89529,-2,39,-38
89630,-31,-11,-27
89730,36,36,3
89830,25,16,39
89930,-6,10,-15
90031,-32,40,-37
90132,22,24,31
90233,-20,1,26
90333,-8,-22,23
90434,29,-3,-28
90534,-21,-25,23
90635,20,11,-29
90735,19,-7,-16
90836,9,32,-30
90936,25,0,-31
91036,10,17,-13
91137,-14,-27,40
91238,-10,18,24
91338,28,-3,31
91438,32,12,-34
91538,12,10,-28
91639,-30,-24,37
91740,-27,36,-20
91840,-11,-17,-12
91940,-25,-10,-13
92040,5,28,6
92140,-6,-36,-11
92241,-7,16,39
92341,37,-23,-2
92442,3,7,5
92543,-37,-33,39
92643,-13,0,11
92744,19,-40,-4
92845,-9,14,-14
92944,-36,-32,-24
93045,-20,1,38
93145,-24,-28,11
93245,-29,36,17
93346,-22,34,9
93446,17,11,-34
93547,-37,1,-11
93648,17,33,29
93748,-18,24,-15
93848,12,-32,14
93949,35,2,30
94049,-35,-3,-31
94149,-1,0,-10
94249,-34,-29,4
94350,12,-34,35
94450,32,-23,9
94552,33,2,-18
94652,-23,-8,-13
94752,23,-7,6
94851,28,18,29
94951,-3,-29,28
